"obs_n";"study_id";"study_name";"effect";"se";"t_stat";"est_agg_city";"est_agg_region";"est_agg_country";"n_obs";"regressands";"reg_df";"study_size";"years_of_schooling";"years_of_experience";"schooling_years";"schooling_levels";"wage_log_hourly";"wage_log_daily";"wage_log_monthly_annual";"data_type_survey";"data_type_national_register";"data_cross_section";"data_panel";"data_avgyear";"wage_earners";"self_employed";"gender_male";"gender_female";"white";"non_white";"ethnicity_caucasian";"ethnicity_other";"married";"unmarried";"subjects_identical_twins";"subjects_non_identical_twins";"subjects_not_twins";"country";"income_high";"income_middle";"med_exp";"min_wage";"freedom_index";"mean_age";"method_ols";"method_gls";"method_selection_fe";"method_fd";"method_fdiv";"method_IV";"instr_sibling_ed";"instr_smoking";"instr_other";"age_control";"age_sq_control";"exp_control";"ethnicity_control";"gender_control";"marriage_control";"firm_char_control";"area_control";"macro_var_control";"impact_factor";"citations";"published";"unpublished";"pub_year";"X"
1;1;"Ashenfelter & Rouse (1998)";10.2;1;10.2;1;0;0;680;5;674;22;14.03;8.34;1;0;1;0;0;1;0;0;1;1992;NA;NA;0.41;0.59;"0.92";"7.999999999999996E-2";0;1;"0.64";"0.36";1;0;0;"United States";1;0;25151;1422;0.921;38.07;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;3.092;908;1;0;4;"X"
2;1;"Ashenfelter & Rouse (1998)";6.6;1.8;3.66666666666667;1;0;0;680;6;673;22;14.03;8.34;1;0;1;0;0;1;0;0;1;1992;NA;NA;0.41;0.59;"0.92";"7.999999999999996E-2";0;1;"0.64";"0.36";1;0;0;"United States";1;0;25151;1422;0.921;38.07;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;3.092;908;1;0;4;"X"
3;1;"Ashenfelter & Rouse (1998)";9.1;2.4;3.79166666666667;1;0;0;680;6;673;22;14.03;8.34;1;0;1;0;0;1;0;0;1;1992;NA;NA;0.41;0.59;"0.92";"7.999999999999996E-2";0;1;"0.64";"0.36";1;0;0;"United States";1;0;25151;1422;0.921;38.07;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;3.092;908;1;0;4;"X"
4;1;"Ashenfelter & Rouse (1998)";7;1.9;3.68421052631579;1;0;0;340;1;338;22;14.03;8.34;1;0;1;0;0;1;0;0;1;1992;NA;NA;0.41;0.59;"0.92";"7.999999999999996E-2";0;1;"0.64";"0.36";1;0;0;"United States";1;0;25151;1422;0.921;38.07;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.092;908;1;0;4;"X"
5;1;"Ashenfelter & Rouse (1998)";8.8;2.5;3.52;1;0;0;340;1;338;22;14.03;8.34;1;0;1;0;0;1;0;0;1;1992;NA;NA;0.41;0.59;"0.92";"7.999999999999996E-2";0;1;"0.64";"0.36";1;0;0;"United States";1;0;25151;1422;0.921;38.07;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;3.092;908;1;0;4;"X"
6;1;"Ashenfelter & Rouse (1998)";11.3;1;11.3;1;0;0;666;8;657;22;14.03;8.34;1;0;1;0;0;1;0;0;1;1992;NA;NA;0.41;0.59;"0.92";"7.999999999999996E-2";0;1;"0.64";"0.36";1;0;0;"United States";1;0;25151;1422;0.921;38.07;0;1;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;1;3.092;908;1;0;4;"X"
7;1;"Ashenfelter & Rouse (1998)";7.4;1.7;4.35294117647059;1;0;0;666;9;656;22;14.03;8.34;1;0;1;0;0;1;0;0;1;1992;NA;NA;0.41;0.59;"0.92";"7.999999999999996E-2";0;1;"0.64";"0.36";1;0;0;"United States";1;0;25151;1422;0.921;38.07;0;1;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;1;3.092;908;1;0;4;"X"
8;1;"Ashenfelter & Rouse (1998)";10.6;2.2;4.81818181818182;1;0;0;666;9;656;22;14.03;8.34;1;0;1;0;0;1;0;0;1;1992;NA;NA;0.41;0.59;"0.92";"7.999999999999996E-2";0;1;"0.64";"0.36";1;0;0;"United States";1;0;25151;1422;0.921;38.07;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;0;1;3.092;908;1;0;4;"X"
9;1;"Ashenfelter & Rouse (1998)";7.8;1.8;4.33333333333333;1;0;0;333;4;328;22;14.03;8.34;1;0;1;0;0;1;0;0;1;1992;NA;NA;0.41;0.59;"0.92";"7.999999999999996E-2";0;1;"0.64";"0.36";1;0;0;"United States";1;0;25151;1422;0.921;38.07;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;3.092;908;1;0;4;"X"
10;1;"Ashenfelter & Rouse (1998)";10;2.3;4.34782608695652;1;0;0;333;4;328;22;14.03;8.34;1;0;1;0;0;1;0;0;1;1992;NA;NA;0.41;0.59;"0.92";"7.999999999999996E-2";0;1;"0.64";"0.36";1;0;0;"United States";1;0;25151;1422;0.921;38.07;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;3.092;908;1;0;4;"X"
11;1;"Ashenfelter & Rouse (1998)";6.6;1.8;3.66666666666667;1;0;0;395;5;389;22;14.03;8.34;1;0;1;0;0;1;0;0;1;1992;NA;NA;0.41;0.59;"0.92";"7.999999999999996E-2";0;1;"0.64";"0.36";1;0;0;"United States";1;0;25151;1422;0.921;38.07;1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;3.092;908;1;0;4;"X"
12;1;"Ashenfelter & Rouse (1998)";6.4;1.9;3.36842105263158;1;0;0;353;5;347;22;14.03;8.34;1;0;1;0;0;1;0;0;1;1992;NA;NA;0.41;0.59;"0.92";"7.999999999999996E-2";0;1;"0.64";"0.36";1;0;0;"United States";1;0;25151;1422;0.921;38.07;1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;3.092;908;1;0;4;"X"
13;1;"Ashenfelter & Rouse (1998)";5.8;1.9;3.05263157894737;1;0;0;342;5;336;22;14.03;8.34;1;0;1;0;0;1;0;0;1;1992;NA;NA;0.41;0.59;"0.92";"7.999999999999996E-2";0;1;"0.64";"0.36";1;0;0;"United States";1;0;25151;1422;0.921;38.07;1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;3.092;908;1;0;4;"X"
